,0
2463,Sorry nix für mich .
2464,Diese ganzen Hell / Lagerbiere öden mich ziemlich an .
2465,Ist mir völlig schleierhaft warum diese Augustiner-Plürre so gepriesen wird .
2466,Lasche Suppe für schlappe Seppel
2467,Immer nur getrunken wenn man sich vergreift .
2468,Dann war dir Enttäuschung aber groß !
2469,Würde dieses Bier nie nüchtern trinken
2470,"Besser als das Lagerbier , aber auch hier eher ein Allerweltsbier ."
2471,Außer man bekommt es aus dem Holzfass .
2472,Nur am Oktoberfest und in ausgewählten Augustiner-Schwemmen .
2473,"Da ich ungerne nur ein Bier am Abend trinke , kommt jetzt nach dem Lagerbier Hell von Augustiner , deren Edelstoff dran ."
2474,Das Etikett sieht schonmal ganz hübsch aus : Der Bischofsstab in einer Art Briefmarke - umrahmt vom Hopfen - macht Appetit auf den ersten Probierschluck !
2475,Im Glas auch ein helles Goldgelb und wieder ist der Schaum verschwunden bevor man das Glas an den Mund führen kann .
2476,"Wie schon mehrfach erwähnt : kommt mir entgegen , da ich Bier - und keinen Schaum trinken möchte ."
2477,"Im Antrunk ist es süßlich , dann kommen Fruchtaromen durch - hmmm - erinnert mich am ehesten an "" GoldKiwis "" - im Nachgang bleibt etwas Hopfenbitter zurück ."
2478,"Eine leckere und süffige Kombination , gefällt mir nicht ganz so gut wie das "" Lagerbier Hell "" , ist aber deutlich überdurchschnittlich : 7 Öffner"
2479,Hebt sich durch den dezent stärkeren Alkoholgehalt vom normalen hellen Vollbier angenehm ab .
2480,"Augustiner Edelstoff 5,6 % Die Aufmachung des Etiketts ist gut gelungen ."
2481,Sehr ansprechend .
2482,Das Bier im Glas ist recht hell und hat eine schöne aber leider eine zu schnell einfallende Blume .
2483,Wie erwartet ist der Antrunk etwas flach .
2484,Ist halt ein Helles .
2485,Dennoch kommen im Durchgang Würze und Hopfen gut durch .
2486,Auch ist eine leichte Süße zu schmecken .
2487,Die Süffigkeit ist enorm hoch .
2488,"Fazit : ein gutes Helles , was man gut trinken kann ."
2489,Herbe : 5/10 Würze : 6/10 Erfrischend : 7/10 Süffigkeit : 8/10 Katerverdächtig : 5/10 Label : 7/10 Image : 7/10 Gesamteindruck : 7/10
2490,Das ist mir als Bier für alle Tage zu stark .
2491,War früher aber auch besser .
2492,"Der Augustiner Edelstoff - ein treuer Begleiter in der Jugendzeit - war und ist ein gutes , süffiges Alltagsbier ."
2493,"Im Glas hat es eine blasse , gelbliche Farbe und die mittelmäßighaltende Schaumkrone ist gemischtporig ."
2494,"Im Antrunk frisch , vollmundig und leicht Bitter ."
2495,Der Körper ist aufbrausend würzig und besonders süffig .
2496,"Im Abgang immer noch eine kräftige Würzigkeit , aber diesmal gepaart mit milden Bitterhopfennoten ."
2497,"Insgesamt ein sehr ausgewogenes , stimmiges und süffiges Exportbier , das man gut und gern überall trinken kann ."
2498,"Danke für die vielen tollen Momente , die wir miteinander erlebt haben ."
2499,"Der „ Edelstoff "" beginnt schon mal beim edlen Etikett , doch kann das Bier auch mit inneren Werten überzeugen ?"
2500,"Im Glas finde ich ein tief goldgelbes Bier mit einer wenig stabilen , gemischtporigen Schaumbildung vor ."
2501,"Der Geruch vereint eine prägnante , überfrachtete Getreidigkeit mit ansprechenden Hopfennoten , ich empfinde ihn als nur bedingt einladend ."
2502,"Am Gaumen findet sich dann ein unschöner , penetrant getreidiger Geschmack wieder , daneben auch eine unziemliche alkoholische Note , und das bei gerade einmal 5,6 % ."
2503,"Im Abgang dringt schließlich eine Bitterkeit durch , für die das Attribut „ würzig "" wirklich ein Euphemismus wäre ."
2504,Das ist geschmacklich wirklich nichts Besonderes und geschmacklich irgendwie ziemlich unrund .
2505,"Letztlich ist die ansprechende Etikettierung der beste Beweis , mit welchen Nebensächlichkeiten der gemeine Biertrinker gekapert werden kann ."
2506,"natürlich eines der besten Biere , die ich je getrunken habe ."
2507,In der Nachbarschaft arbeitet jemand in München und brachte fürs Wochenendgrillen immer den EDELSTOFF mit .
2508,Auch aus der Flasche ein Genuss .
2509,Leider hatte ich nur einmal das Vergnügen eins vom Fass im Augustiner Keller zu trinken .
2510,"Einfach Top , so wie heute so auch früher ."
2511,"Gibt nur ein Augustiner , was ich noch lieber mag und zwar das Weißbier ."
2512,Dieser feine nussige Geschmack und gut gekühlt ist es Süffig ohne Ende und das Ende zu finden ist schwer .
2513,Augustiner Edelstoff im Getränkehandel ( Schluckspecht ) eines der teuersten Biere .
2514,"Vom Aussehen her , sehr hell und wässrig ausschauend ."
2515,Schmeckt durchweg gleichbleibend würzig-süffig !
2516,"Erschmecke einen sehr guten , dafür milden Hopfen , welcher dieses Bier in der "" bayerisch-böhmischen Liga "" im oberen Tabellendrittel verweilen lässt ."
2517,"( Wohl nichts für "" norddeutsche Bierkehlen "" , es sei denn , diese sind offen für andere gute Brauarten , jenseits eines herben Pilsgeschmackes ) ."
2518,"Für den alltäglichen Gebrauch , ist es mir etwas zu stark ."
2519,"Bonus auch hier , der Verzicht auf Hopfenextrakt ."
2520,Das war mein Test vom April 2009 und es war früher mal eines meiner Lieblingsbiere .
2521,"Jetzt nehme ich mir unsere angebliche Nummer 5 nochmal vor : Goldgelb , klar - die Schaumkrone verlässt einen zu früh ."
2522,"Im Geruch getreidig , etwas zu alkohollastig ."
2523,Im Antrunk recht frisch und herb-gerstenmalzig .
2524,"Zur Mitte hin würzig , ungemein süffig ."
2525,"Am Ende zeigt sich ein hopfenbitterer Abgang , aber leider etwas zu lasch ."
2526,"Viel habe ich bei diesem Industriebier nicht zu meckern , es ist immer noch ein gut trinkbares Exportbier !"
2527,"Kein schlechtes Bier , aber wenn man einige davon trinkt , dann pippt's einem fast den Mund zu weil es doch sehr süßlich ist !"
2528,#NBGBST001 kräftiger Antrunk .
2529,Wie die meisten Biere der Brauerei einfach solide im Geschmack .
2530,Das Label ist natürlich gewitzt .
2531,"Geht runter wie Öl ( oder Wasser ) , ansonsten aber nichtsagend ."
2532,"In Sachen Bier steht die Achse Baden -Franken stabil , während Bayern-Schwaben schwächelt !!"
2533,"Tschuldigung , aber ist doch wahr !"
2534,"Malzig-getreidiger Geruch , kräftiger Antrunk ."
2535,Der Körper ist vollmundig und leicht hopfenherb .
2536,"Lässt sich gut trinken , ist süffig und knallt ."
2537,Aber geschmacklich ist es auch nur ein besseres Durchschnitts-Exportbier .
2538,"Ich komme mit dieser Brauerei nicht klar , bisher mit keinem von ihren Bieren ."
2539,Das hat sich auch hier wieder bestätigt .
2540,"Wenn das der Geschmack der Münchner ist - da bin ich wieder ein Stück glücklicher , Franke und kein Bayer zu sein ."
2541,"Sehr hell , glasklar fliesst dieses Bier ins Glas , gemischtporige Blume die kaum Bestand aufweisen kann ."
2542,"Geruch für mich nahezu undefinierbar , etwas Malz und etwas säuerlich ."
2543,Und so ist auch der erste Schluck .
2544,"Vorwiegend säuerlich , kaum CO2 - so sieht es nach dem raschen Zerfall der Blume auch aus , in Franken "" Lacherla "" genannt , etwas Malz kommt hinzu , völlig leerer Körper , wässrig , einfallslos ."
2545,Ich habs nicht einmal geschafft diese Brühe auszutrinken und kippe den Rest mit ruhigem Gewissen in den Ausguss .
2546,"Da hilft auch ein edel aussehendes Etikett nicht weiter , der Name Edelstoff ist für dieses Gebräu total daneben ."
2547,Übel übel .
2548,"Einfach ein tolles Bier so mag ich es , auch das Eticket ist hervorragend mit sowas kann mann sich sehen lassen spitze ."
2549,Dieses helle Lager besticht beim ersten Betrachten mit einer überaus stabilen Blume und satter feinperliger Kohlensäurebildung .
2550,Als Vollbier wurde es ( nach meinem Geschmack ) nicht zu mild gehopft und besitzt einen malzig-süßen Antrunk .
2551,"Zudem kann ich die unaufdringliche Alkoholnote im Nachtrunk bestätigen ... mir gefällt' s. Obwohl ich kein typischer Exportbier-Liebhaber bin , werde ich auch in Zukunft immer wieder gern zu diesem Bier langen ."
2552,Eigenartiges Gebräu .
2553,Hat irgendwie nichts von Export .
2554,"Geruch säuerlich , maukig ."
2555,"Blume schwach , verschwindet schnell ."
2556,"Geschmack anfangs säuerlich , bisschen süß und kaum würzig und das bis zum Ende ."
2557,Zu viel Kohlensäure .
2558,Erinnert etwas an ein billiges Radler .
2559,Wieso Edelstoff ?
2560,Ein TOP Bier .
2561,"Süffig , würzig , hopfig , toller Geschmack ."
2562,Edelstoff geht immer .
2563,Einfach Edel der Stoff
2564,Das Augustiner Edelstoff trinken wir im Augustiner Leipzig vom Fass .
2565,Punkt 18:00 ist dort Fassanstich .
2566,In meinem Glas ist sogar ein kleines Stück Holz mit drin und ich werde gefragt ob ich das Bier tauschen will .
2567,Aber alles ok .
2568,"Fassaromen wie beim Barrel Aged werden es trotzdem nicht . 5,6 % Alkohol hat es ."
2569,Im Glas gelb und klar mit etwas Schaum .
2570,Der Geruch ist etwas hopfiger als erwartet .
2571,Geschmacklich ein sehr süffiges Export .
2572,"Getreidige Noten , Heuaroma , etwas Würzigkeit und ordentliche Hopfenaromen mit etwas Herbe im Abgang ."
2573,Fazit : Nicht das klassische Exportbier aber wirklich gut und süffig .
2574,Irgendwann habe sich schlauen Buben der Augustiner gedacht .
2575,"Berlin , das ist doch keine Bierstadt , die können wir doch nicht den Kollegen aus Bremen und Jever überlassen und schon - zack - gab es das Augustiner im Späti ."
2576,"Mild , malzig-süss , süffig , trinkbar ."
2577,Der Edelstoff lässt einen 4 statt 5 trinken .
2578,"Ich trinke es gerne , egal , wo ich bin ."
2579,"Ein leichtes , passend mit CO2 versetztes Export ."
2580,"Hat mir etwas wenig Würze , dafür ziemlich lauffähig ."
2581,Der Nachtrunk hat eine leichte Alkoholnote .
2582,"Im Glas goldgelb , schöne Blume , die Aufmachung etwas kitschig , aber dafür in gold auf weiß ."
2583,Der Augustiner Edelstoff .
2584,"Abschiedsbesuch in der Traditionsgaststätte Zur Schranke , die bis 2012 unter dem Namen Schlenkerla am Nürnberger Tiergärtnertorplatz gleich neben dem Dürer-Haus Legendenstatus hatte ."
2585,"2012 übernahm die Augustiner das Lokal , gab dem Drängen der Bamberger Schlenkerla-Brauerei nach und änderte den Namen ."
2586,"Statt Tucher also Augustiner , das Schlenkerla-Rauchbier gab es weiterhin , denn die Wirtsfamilie blieb die Gleiche ."
2587,Doch nun geht die Familie Gerber nach 34 Jahren in den Ruhestand .
2588,"Was die Augustiner jetzt draus macht , die Wirtsfamilie weiß es nicht oder will es auch nicht wissen oder darf nichts sagen ."
2589,"Also zunächst einmal ein Edelstoff , um all diese traurigen Nachrichten zu verdauen ."
2590,"Der einladende Freund kam zu spät , also gleich noch eines hinterher ."
2591,"Das Bier kommt hier logischerweise vom Faß , das goldene , edle Etikett wurde ja bereits gerühmt und - auch als Franke muss man es leider einräumen - der Edelstoff läuft und läuft ."
2592,"Ein sehr süffiges Bier , etwas süssmild , nur eine geringe Bittere ."
2593,In den Obatzten kommt allerdings ein Schuss Rauchbier .
2594,"Dann das Schäufela , noch zwei Edelstoff hinterher , ein Underberg oben drauf ."
2595,Die uns umgebenden Stammgäste lobten unseren konzentrierten Einsatz bei der Vernichtung der fränkischen Spezialitäten .
2596,"Mach's gut , Schlenkerla bzw. Schranke ."
2597,Schön war es .
2598,8 Öffner .
2599,"Braune 0,5 l Euro-Flasche als Gebinde ."
2600,"Goldenes Etikett mit Bischofsstab-Aufsatz . 5,6 % Alkohol ."
2601,Gerstenmalz und Hopfen bei den Zutaten .
2602,Schöne helle Schaumkrone .
2603,Klare hellere goldgelbe Farbe .
2604,Malzigsüßer und getreidiger Geruch .
2605,Milder und malzigsüßer Antrunk .
2606,Würzig und getreidige Noten im Mittelteil .
2607,Leichte Hopfenherbe entwickelt sich zum Abgang hin .
2608,"Der Nachgeschmack ist zuerst malzigsüß , dann würzig und mit getreidigen Noten und zum Ende hin leicht hopfigherb , leicht bitter und leicht säuerlich ."
2609,Lässt sich sehr süffig trinken .
2610,Das Augustiner Edelstoff Exportbier ist etwas würziger und etwas hopfiger als das Augustiner Lagerbier Hell .
2611,Das Augustiner Lagerbier Hell ist etwas säuerlicher im Nachgeschmack als das Augustiner Edelstoff Exportbier .
2612,"Insgesamt ein sehr süffiges , malzigsüßes , getreidiges und würziges Export aus München ."
2613,"Nicht schlecht , aber halt schon wieder aus der verbotenen Stadt ."
2614,"Als Norddeutscher sieht man es bei uns immer öfter , aber das sind Fehlgeleitete ."
2615,Eindeutig .
2616,"Wieso dieses Bräu den 6 Platz belegt , ist mir ein Rätsel ."
2617,"Der Test : die standard 0,5 l Flasche ( Euro ) ."
2618,"Das Etikett ist altbekannt , diesmal in gold-weiss-schwarz ."
2619,"Das Bier baut eine gute Blume auf , jedoch : ich habe noch nie , nicht mal bei den billig-Bieren , eine Blume gehabt , die so geräuschvoll verfällt , und dies recht schnell ."
2620,Das Bier ist fast Strohblond .
2621,"Der Geruch ist total hopfenlastig , kaum malzig ."
2622,Der Geschmack haut mich nicht um .
2623,Schmeckt nicht nach Export !
2624,"Schmeckt würzig und süffig , die Kohlensäure ist grob zu meiner Zunge , keine süsse ."
2625,"Es ist hopfig und leicht malzig , im Mittelteil und im Abgang ist das Ganze doch wässrig ! irgendwie wischiwaschi ."
2626,"Den Alkohol schmeckt man nicht , der ist wirklich sehr gut eingebunden !"
2627,"Das Gesamtpaket von diesem Bier ist an sich OK , jedoch nicht mein Level ."
2628,"Kann man sich in netter Runde bestimmt reichlich geben , nur : ich wäre in dieser Runde wieder der Ausreisser mit eben einer meiner "" Favoriten "" ."
2629,Trotzdem kastenwürdig .
2630,"( Der Name : "" Edelstoff "" irritiert ..."
2631,"Denn : "" Edel "" ist relativ ... )"
2632,"Typisch helles Exportbier , weich , spritzig und frisch ... für mich etwas zu leichtes Aroma , etwas zu wenig bitter , aber trotzdem schmeckt sehr gut ..."
2633,"Geschmacklich besser alls das normalle Augustiner Hell , vollmalzig aber ohne finesse beim Hopfen ."
2634,Ist ok für Export .
2635,Aber dicker Punktabzug : das Bier hat bei mir leider Kopfschmerzgarantie schon nach einer Flasche .
2636,Das Bier wird in einer Euro Flasche verkauft .
2637,Farbe des Biers ist gold gelb klar .
2638,Feinporige Blume die bestand hat .
2639,Hopfenaromen steigen einem in die Nase .
2640,Malzig im Geschmack .
2641,Kohlensäure ist feinperlig . hat ein wenig Ähnlichkeit mit dem Tegernseer Spezial .
2642,Ist m. E. ein gelungense Bier .
2643,"Aber vorsicht 5,6 Vol . steigen eine doch schnell in den Kopf ."
2644,Im Vergleich zum Hell ist diese Flasche richtig hässlich .
2645,Das Export ist hier in der Gegend ( jenseits der Iller ) fast beliebter als das Hell .
2646,"Es ist für mich immer noch eine gute Referenz für diesen Bierstil , auch wenn es leichte Schwächen hat ."
2647,"Glänzend klares , goldenes Bier mit massiv malzigem Geruch ."
2648,"Gute Würze , schöne Spundung , süßliche Anklänge ."
2649,"Mir persönlich ist es etwas zu viel Süße ( driftet mitunter ins Schmierige ab ) , wobei man das bei Export erwarten kann ."
2650,"Insgesamt aber ein harmonisches , süffiges Export , dem auch der Hopfen nicht abhanden kommt ."
2651,Ist mir definitiv lieber als der helle Gustl auch wenn ich es gerne noch etwas würziger hätte ( das bietet z. B. das Oktoberfestbier ) .
2652,Ein sehr gutes Bier .
2653,Sehr süffig und läuft runter wie Öl .
2654,Ich für meinen Geschmack finde es noch um eine gute Note besser als das Lagerbier von Augustiner .
2655,Wenn Münchner Bier dann dieses .
2656,"Geht rein , aber vergisst man schnell ."
2657,"Gefällig süffig , etwas stumpf , malzig , hinten rasu mir zu süß und fast labberig ."
2658,Hopfen fehlt mir viel zu sehr und für den Alkoholgehalt ist das Bier fast zu dünn .
2659,"Augustiner "" Edelstoff "" aus München : Was macht dieses Bier so verdammt erfolgreich ?"
2660,"Abgefüllt wird dieses Untergäriges Vollbier in der kultigen 0,5 l -Euro-Flasche ."
2661,"Das Etikett wurde seit "" 100 "" Jahren nicht mehr angefasst ."
2662,Die Optik stimmt : ein schönes goldgelb und eine durchschnittliche Schaumkrone .
2663,Malzig süß präsentiert sich der Geruch .
2664,"Der Antrunk gestaltet sich ziemlich süffig , was ja auch so gewünscht ist ."
2665,"Der Geschmack ist gar nicht so schlecht . : mild , angenehm malzig , leicht gehopft und spritzig . , aber ohne groß mit eigenen Aromen aufzutrumpfen ."
2666,"Man schmeckt etwas Hopfen , das Malz ist ganz ok und die Kohlensäure , wie gesagt , ist dominant ."
2667,"Ja , das ist schon fast alles !"
2668,"Wenn ich den Namen "" Edelstoff "" lese , möchte ich ein Bier schmecken , was wie früher gemundet hat ."
2669,"Das Augustiner Edelstoff ist ein qualitativ hochwertiges , geschmacklich aber durchschnittliches , in Massen produziertes Bier ."
2670,Es schmeckt langweilig .
2671,"Nichts spannendes passiert , keine besonderen Aromen stechen hervor ."
2672,"Es fehlt das Kernige , das würzige , eben das , was ein leckeres Exportbier ausmacht !"
2673,Es schmeckt einfach zu einfach .
2674,Da das Augustiner Lager Hell mir nicht so munden wollte versuche ich es jetzt mal mit dem Edelstoff der Münchner Brauerei .
2675,Auch hier habe ich es mit einer Euroflasche zu tun .
2676,Die Aufmachung wirkt auf mich alles andere als gelungen .
2677,Aber es geht ja mehr um den Inhalt der Flasche .
2678,"Das Bier hat 5,6 % Alkohol und ist ein helles Exportbier ."
2679,"Es ist sehr hell , blank filtriert und hat einem gemischtporigen Schaum ."
2680,Es riecht etwas nach Malz .
2681,Der Antrunk gestaltet sich säuerlich und schwach malzig .
2682,Malzige Süße ist kaum zu schmecken .
2683,Die kommt erst im Nachtrunk zusammen mit dem dezenten Hopfenaromen heraus .
2684,Der Edelstoff ist für mich jetzt auch keine Offenbarung .
2685,Aber ein durchaus süffiges Alltagsbier .
2686,Mir schmeckt es deutlich besser als das Lager Hell und wäre im Fall des Falles das Bier meiner Wahl .
2687,Ein süffiges Bier mit viel Kohlensäure .
2688,Das Bier ist im Antrunk schwach hopfig .
2689,Süßlicher Körper durch die Kohlensäure .
2690,"Ein runder Tropfen , es wirkt als würde das Bier von seiner Süße domioniert und leichte Malz- und Hopfenspitzen gut abgechwätzt dazu gegeben ."
2691,"Das Etikett finde ich persönlich etwas unpassend , irgendwie würde dem Bier blau besser stehen ."
2692,Etikett erinnert an ein mittelalterliches Wappen .
2693,"Sieht edel aus ( muss ja auch so sein bei einem Edelstoff ;-) Goldgelbe Färbung , schöne Krone und durchschnittliche Perlung ."
2694,Es schmeckt ausgezeichnet .
2695,"Würzig , prickelnd , erfrischend , leicht getreidig ."
2696,"Das Etikett der € uroflasche ist mit seiner goldunterlegten Mittelaltergraphittyart nicht ganz so häßlich und jahrmarktschreierisch wie der "" Papageienmönch "" auf dem Hell ..."
2697,"Geschmacklich ist der selbstbelorberte "" Edelstoff "" jedoch keinesfalls besser ."
2698,"Blubberblasenschaum der "" im nu "" wieder verschwunden ist und geschmacklich ähnelt es eher einer getreidehaltigen Apfelschorle , als einem "" edlen Bier "" ! ... keinerlei Würze und ziemlich fade ."
2699,Vielleicht lagen beim Brauakt ja doch ein par Hopfenblätter in der Nähe ?
2700,Laut Etikett soll ja wohl irgendwie Hopfen drin sein nur schmecken tu ich keinen ... ???!
2701,"Was ( und wenn , wieviel davon ) sollte denn das für eine Sorte sein ?"
2702,"Da bei Augustiners prinzipiell auf Rückenetiketten verzichtet wird , muß man zur Rezeptur dann halt auch nicht viel schreiben ."
2703,"Wohltuend erfischendes Bier , süffig und bekömmlich , harmonisch im Geschmack ."
2704,Etwas fade und muffig .
2705,Man wird es schnell leid .
2706,"Steht Edelstoff drauf , ist eher guter Durchschnitt drinn ."
2707,Gut gemeinte 6 / 10. Oans Zwoa Gsuffa
2708,Immer wieder ein Genuss .
2709,Aber es gibt noch bessere
2710,Der Name steckt die Erwartungen ziemlich hoch .
2711,Naja .. warten wir mal ab !
2712,Das Bier ist goldgelb und glasklar .
2713,Die Blume ist im Grunde auch sofort wieder verschwunden .
2714,Es riecht nur nach Hopfen .
2715,Geschmacklich finde ich es leider etwas leer .
2716,Der Antrunk perlt fein auf der Zunge schmeckt aber ziemlich fad .
2717,Auch der hopfige Nachtrunk ändert das leider nicht :( !
2718,"Mir persönlich ist das stinknormale Helle vom Augustiner lieber , wenngleich der Edelstoff kein schlechtes Bier ist ."
2719,Aber : Schädlwehgefahr ab der ersten Halbe !
2720,Edelstoff - edles Etikett - edler Geschmack ?
2721,"Die Schaumkrone überzeugt schonmal nicht , zwar recht viel Kohlensäure , aber die Bläßchen zerfallen schnell wieder ."
2722,Geruch ( schön hopfig ) und die kräftige Gelbe Farbe überzeugen da schon wesentlich mehr .
2723,"Das Bier ist geschmacklich leider nicht so "" edel "" wie erwartet ."
2724,"Zwar schmeckt es schön hopfig ( laut zutaten wird echter Hopfen verwendet ) , doch es fehlt dem Bier an Tiefe , und einer schönen Entfaltung ."
2725,"Dafür kann man es aber trinken wie Wasser , es wirkt doch recht dünn ."
2726,"Alles in allem kein schlechtes Bier , auch wenn es meinen Erwartungen nicht gerecht wurde ."
2727,Augustner gibt es bei uns in Sachsen in den normalen Handelseinrichtungen nicht zu kaufen .
2728,"Ich stufe diese Biere deshalb mal als "" Regionalbier "" ein ."
2729,"Um so erstaunter war ich daher , daß Augustiner auf dem Bierbasis-Portal hier so gut bewertet ist ."
2730,Ich wollte es daher unbedingt mal proBIERen ...
2731,"Extra deswegen haben wir letzten Samstag beim Ausgehen einen Abstecher in den vordergründig von Tagestouries besuchten "" Augustiner Bierkeller "" an der Frauenkirche ( DD ) gemacht ."
2732,"Münchner Bier ist eine geschützte regionale Herkunftsbezeichnung , habe ich dort erfahren ."
2733,"Nun ja , das Bier sieht sehr gut aus und hat schönen ganz feinen beständigen Schaum ."
2734,"Es schmeckt etwas sauer-fruchtig , doch schon vollmundig ... aber irgendwie fehlt etwas , kein bisschen Hopfenbittere , so wie wir das hier mögen ."
2735,"Es ging gut runter und schmeckt auch nicht direkt schlecht , aber nach dem 2. dürstete es uns nach "" Pils-Würze "" und wir wechselten das Lokal ."
2736,Kopfweh !!!
2737,Vom Fass eines meiner Top 5 Biere .
2738,Aus der Flasche immer noch eines der besten Biere in Bayern .
2739,"Unglaublich milder Antrunk , weiches Brauwasser umschmeichelt die Lippen ."
2740,Der malzig-würzige Charakter des Edelstoffs bleibt lange im Rachen .
2741,Der Hopfen bleibt dezent im Hintergrund aber präsent .
2742,"Daumen hoch und "" noch a Mass ! """
2743,"Der Name ist Programm , ein edles und gutes Bier ."
2744,"Im Glas eine helle Farbe , leider wenig Schaum ."
2745,"Der Geruch ist malzig , Der Geschmack ist würzig , vollmundig und leicht süßlich ."
2746,"Ein leckeres , süffiges Bier , könnte noch etwas spritziger und erfrischender sein ."
2747,LG
2748,Irgendwie bin ich bei dem Edelstoff zwiegespalten .
2749,"Es ist ein tolles Bier aber nicht das , was meinen vollen Geschmack trifft ."
2750,Aber sind wir fair .
2751,"Es ist im Glas sehr sehr hell , eine feine , recht stabile Krone ."
2752,Es riecht sehr malzig und süß .
2753,Im Antrunk kommt es mit einem sehr schlanken Körper daher und die angenehme Kohlensäure ist sehr überzeugend .
2754,"Geschmacklich ist es sehr süß , wenig herb ."
2755,Das fehlt mir einfach .
2756,Aber insgesamt ist es sehr rund und ausgewogen .
2757,Für den Sommer im Biergarten sicher ideal und da gehen auch mal 2 - 3 mehr .
2758,Edles Exportbier !
2759,Augustiner macht hier seinem Namen einmal mehr alle Ehre .
2760,Nach dem Eingießen sieht man eine helle Farbe und sehr feine Kohlensäure .
2761,Dieser feine Geschmack mit ausgeglichenen Noten der Prägung wird dann auf der Zunge ein würziges Erlebnis .
2762,Kurze Genießerstille für den Nachtrunk .
2763,"Ahhh ein angenehmer Biergeschmack bleibt , so sollte Bier sein , tolle Sache !"
2764,Weiterhin ist das Label besonders gut .
2765,Gesamturteil : Sehr gut !
2766,"Die vielen und unterschiedlchsten Bewertungen / Geschmäcker bringen mich jedoch nicht davon ab , dieses Bier als hervorragend zu bezeichnen ."
2767,Die Münchener bezeichnen es als ihr Bestes .
2768,"Obwohl ich Franke bin , kann ich mich ihrem guten Biergeschmack nur anschließenl Die erste Bekanntschaft mit diesem Bier begann in einem Getränkemarkt im Bayerischen Wald . in der Mittagspause einer Geschäftsreise ."
2769,Nahm mir spontan ganz einfach einen Kasten mit nach Hause .
2770,Das war vor 20 Jahren .
2771,"Seitdem darf dieser Edelstoff ein keinem "" Mischkasten "" mehr fehlen ."
2772,"Wenn ich in München bin , kehre ich immer in einer Speisegaststätte ein , in der es auch ein Augustiner Edelstoff vom Faß gibt ! ."
2773,"eines der besten Biere für den Sommer im Biergarten ! löscht den Durst , ist erfrischend , der Schaum hält sich lange , ein wenig herb aber sehr süffig !"
2774,Farbe : Hell wie ein Pils .
2775,"Antrunk : Keine Vollmundigkeit , eher pap süß ."
2776,"Abgang : Treberbrotartiger Geschmack , wie ein Alterungsaroma ."
2777,Hopfen nehm ich auch nicht wahr .
2778,Fazit : Genusswert-4 -Edel entäuschend .
2779,"Mein Fall ist der Edelstoff nicht , was nicht heißt , daß es ein schlechtes Bier wäre Mir fehlt die Spritzigkeit und Herbheit eines Pils , andererseits ist es gegenüber einem Hellen deutlich hopfenbetonter aber für mich weniger leicht trinkbar ."
2780,"Wer diese Mischung sucht , dem wird es aber bestimmt gut schmecken ... 31. 10. nach weiteren Versuchen Wässrig , unausgewogen ."
2781,Kommt mir so schnell nicht mehr ins Glas !
2782,Wohlgemerkt bezieht sich dies auf Flaschenbier .
2783,Vom Faß ist evt . eine andere Sache ...
2784,"Und , der unverschämte Preis für einen Kasten Bier ist in der Bewertung nicht berücksichtigt ."
2785,"Fazit : Premium ist nur der Preis , nicht das Bier !"
2786,"Auffallend wenig Krone , ausgeglichene Bittere und Hopfen ergeben ein süffiges und würziges Export , welches trotz der 5,6 % einen wässrigen Eindruck hinterlässt ( siehe nikes1988 ) ."
2787,"Wow , was für ein Bier ."
2788,Macht seinem Namen alle Ehre .
2789,"Optik und Haptik : Schöne Flasche , edles Etikett , so muss das ."
2790,Hellgelb und fast kein Schaum .
2791,"Trinkverhalten : Von Beginn an bis zum Ende ein malzig würziger Geschmack , leicht süßliches Aroma und wenig herb ."
2792,Im Nachtrunk ebenfalls sehr würzig und vollmundig .
2793,Schmeckt noch lange angenehm nach .
2794,Homogenes Getränk nach hoher Braukunst .
2795,Die Kohlensäure ist genau richtig - weder zu viel - noch zu wenig .
2796,Prickelnd erfrischend nach .
2797,"Nebenwirkungen : Die einzige Nebenwirkung : mehr , mehr ! ."
2798,MEHR !!!
2799,Aufstoßen : Der Rülps ist angenehm malzig und hallt noch lange in noch so großen Räumen nach .
2800,Top .
2801,"Schmeckt imo besser als das Augustiner Lagerbier , welches mir zu mild ist ."
2802,"Der Edelstoff schmeckt leicht herb , würzig & sehr erfrischend ."
2803,Das Label find' ich sehr schick .
2804,"Man hat das Gefühl , etwas Edles & Wertvolles in den Händen zu halten ."
2805,Dafür zahl' ich gerne etwas mehr .
2806,"Den etwas höheren Alkoholgehalt schmeckt man nicht raus , aber man merkt ihn schon nach 2 Flaschen ."
2807,Ich hatte am nächsten Tag leichte Kopfschmerzen .
2808,"ein Bier , wie es sein soll ."
2809,"Etwas stärker , schön hopfig , nicht so angepasst , saugut und süffig ."
2810,"Und lässt sich sehr gut trinken , sehr vollmundig und immer wieder gern getrunken ."
2811,Auch aus der Flasche ein Genuss .
2812,"Hatte ich schon ne Weile nicht mehr , also hab ichs mir heut mal wieder gezogen ."
2813,Und es riecht so wie aus der Erinnerung .
2814,Satt malzig und fein hopfig .
2815,"Was dieses Bier vom klassischen starken Export / Märzen unterscheidet , ist die Rezenz und die Textur ( meiner Meinung nach ) ."
2816,"Es ist brotig , malzig , süßlich , ... und wässrig !"
2817,Das ist der Nachteil an diesem Bier .
2818,Die Wässrigkeit .
